NUQFUS,FECHA DE LA MEDICION,NOMBRE DEL LABORATORIO,TIPO DE LABORATORIO,PH,TEMPERATURA,SOLIDOS TOTALES,CONDUCTIVIDAD,TURBIEDAD,COLOR REAL,COLIFORMES TOTALES,E. COLI,DEMANDA BIOQUIMICA DE OXIGENO - DBO,DEMANDA QUIMICA DE OXIGENO - DQO,OXIGENO DISUELTO,SODIO,CLORUROS,FLUORUROS,HIERRO,MANGANESO,FENOLES,AMONIACO,NITRITOS,NITRATOS,DUREZA,CIANUROS,SULFATOS,FOSFORO SOLUBLE
1123,2015-12-02T00:00:00.000,IBAL,1,8.29,19.3,72.0,165,3.45,18,19890,"2,010",2,3,8.36,,1.8,,0.17,,,,0.008,1.5,60,,9,
1124,2015-12-02T00:00:00.000,IBAL,1,7.73,24.1,42,99,4.41,23,57940,200,1,2,10.04,,1.5,,0.17,,,,0.011,0.6,89,,0,
1122,2016-01-20T00:00:00.000,IBAL,1,8.25,18.8,188,396,6.68,43,21430,"5,480",1,3,6.23,,4.9,,0.16,0.3,,0.16,0.007,1.3,135,,75,
1123,2016-01-20T00:00:00.000,IBAL,1,8.19,19.5,76.0,164,3.24,7,41060,"3,990",1,2,6.05,,1,,0.08,0.2,,0.01,0.007,1.5,65,,8,
1124,2016-01-20T00:00:00.000,IBAL,1,8.11,24,47.0,103,3.55,13,36540,520,0,1,5.73,,0.9,,0.09,0.2,,0.06,0.003,1.2,25,,0,
1122,2016-02-17T00:00:00.000,IBAL,1,8.27,20.6,197,407,8.12,51,38730,"8,360",3,7,6.3,,3,,0.18,0.8,,0.07,0.008,1.1,***,,102,
1123,2016-02-17T00:00:00.000,IBAL,1,8.2,21.4,78,163,2.56,12,43520,"13,330",0,1,6.49,,0.8,,0.07,0.6,,0.02,0.005,0.5,***,,9,
1124,2016-02-17T00:00:00.000,IBAL,1,8.32,24.2,58,97.5,1.76,11,29090,100,3,7,7.01,,0.9,,0.06,0.3,,0.01,0.006,0.8,***,,0,
1122,2016-03-16T00:00:00.000,IBAL,1,8.38,19.8,191,413,12.2,87,14390,"3,690",1,3,6.46,,4.1,,0.38,0.8,,0.14,0.009,1.9,***,,70,
1123,2016-03-16T00:00:00.000,IBAL,1,8.25,20.1,76.0,168,3.51,22,27550,"2,820",0,1,6.26,,0.7,,0.15,0.5,,0.04,0.003,1,***,,11,
1124,2016-03-16T00:00:00.000,IBAL,1,8.54,22.9,44.0,92,3.13,21,57940,100,3,9,7.07,,0.9,,0.12,0.4,,0.01,0.004,1.2,***,,0,
1122,2016-04-20T00:00:00.000,IBAL,1,8.46,19.6,257,367,10.8,50,34480,4140,1,3,5.77,,5,,0.31,0.50,,3.2,0.010,1,***,,***,
1123,2016-04-20T00:00:00.000,IBAL,1,8.6,20.5,75,159,4.1,12,29870,4640,2,4,4.90,,1.1,,0.18,0.30,,0.1,0.009,0.8,***,,***,
1124,2016-04-20T00:00:00.000,IBAL,1,8.38,21.5,36,80,12.2,49,57940,2010,3,8,5.92,,1.3,,0.15,0.70,,0.02,0.007,1.1,***,,***,
1122,2016-05-18T00:00:00.000,IBAL,1,8.21,20.5,160,328,10.5,57,38730,"6,830",1,3,6.50,,3.9,,0.27,0.30,,0.15,0.008,1.1,***,,***,
1123,2016-05-18T00:00:00.000,IBAL,1,8.2,20.7,77,157,12.5,59,173290,"11,000",2,4,5.81,,0.6,,0.2,0.30,,0.1,0.011,2.4,***,,***,
1124,2016-05-18T00:00:00.000,IBAL,1,8.51,21,41,86,2.78,13,24000,0,3,8,5.98,,1.1,,0.12,0.10,,0.07,0.004,1,***,,***,
1122,2016-06-15T00:00:00.000,IBAL,1,8.07,18.4,72,153,303,1790,41060,"4,950",4,g,6.42,,3.1,,0.39,1.60,,1.09,0.013,2.3,***,,***,
1123,2016-06-15T00:00:00.000,IBAL,1,8.14,19,75,158,4.96,22,48840,"11,120",2,4,4.97,,1.2,,0.27,0.20,,0.09,0.007,1.6,***,,***,
1124,2016-06-15T00:00:00.000,IBAL,1,8.1,22.4,43,91,4.64,31,24890,100,1,8,5.47,,1,,0.12,0.20,,0.01,0.006,0.7,***,,***,
1122,2016-07-21T00:00:00.000,IBAL,1,8.13,17.9,126,265,20.5,63,19350,"5,460",10,14,4.55,,1.5,,0.26,0.40,,0.12,0.008,1.2,***,,***,
1123,2016-07-21T00:00:00.000,IBAL,1,8.19,18.5,74,156,4.55,21,32550,"18,500",4,7,4.74,,0.9,,0.12,0.30,,0.01,0.007,1,***,,***,
1124,2016-07-21T00:00:00.000,IBAL,1,8.16,18.9,44,142,46.1,82,7980,100,1,2,4.99,,0.8,,0.21,0.50,,0.06,0.003,0.8,***,,***,
1122,2016-08-17T00:00:00.000,IBAL,1,8.09,15.4,5,305,4.41,23,43520,"13,540",1,2,5.96,,4.3,,0.2,7.00,,0.04,0.016,0.9,***,***,***,
1123,2016-08-17T00:00:00.000,IBAL,1,8.35,13,4,154,2.41,16,26030,"5,040",0,1,6.17,,1.3,,0.19,0.40,,0.08,0.006,1.1,***,***,***,
1124,2016-08-17T00:00:00.000,IBAL,1,8,15.6,1,93,2.12,14,15970,100,1,2,6.22,,1.5,,0.13,0.30,,0.07,0.006,1.4,***,***,***,
1122,2016-09-28T00:00:00.000,IBAL,1,8.37,22.1,146,302,23.7,103,22470,"10,190",1,2,7.51,,3.4,,0.31,0.50,,0.12,0.012,1.7,***,***,***,
1123,2016-09-28T00:00:00.000,IBAL,1,8.36,22.1,76,157,3.75,14,36540,"6,240",0,1,6.58,,2,,0.18,0.30,,0.03,0.004,1.3,***,***,***,
1124,2016-09-28T00:00:00.000,IBAL,1,7.98,21.1,44,92.1,3.62,28,20460,200,0,1,6.49,,1,,0.12,0.30,,0.01,0.005,0.8,***,***,***,
1122,2016-10-19T00:00:00.000,IBAL,1,8.24,18.4,143,327,13.3,50,43520,"10,540",0,0.6,5.58,,3,,0.23,0.40,,0.08,0.019,1.6,***,***,***,
1123,2016-10-19T00:00:00.000,IBAL,1,8.23,18.8,73,165,5.11,22,8820,"2,560",0,0.1,5.65,,1.9,,0.11,0.20,,0.05,0.014,0.7,***,***,***,
1124,2016-10-19T00:00:00.000,IBAL,1,8.08,18,43,97,3.6,21,1950,520,0,0.9,5.04,,0.5,,0.08,0.20,,0.02,0.007,0.6,***,***,***,
1122,2016-11-26T00:00:00.000,IBAL,1,8.21,15.1,151,298,6.65,30,43520,"22,470",1,2.0,4.97,,4.7,,0.19,0.20,,0.06,0.006,0.8,78,***,59,
1123,2016-11-26T00:00:00.000,IBAL,1,8.17,14.5,73,157.3,5.92,29,86640,"2,620",0,1.0,4.84,,1,,0.14,0.30,,0.02,0.005,0.9,67,***,10,
1124,2016-11-26T00:00:00.000,IBAL,1,8.03,14.6,42,97,29.5,24,30780,630,0,1.0,5.95,,0.9,,0.13,0.20,,0.01,0.007,1,14,***,0,
1122,2016-12-14T00:00:00.000,IBAL,1,8.41,20.9,156,336,60.1,126,51720,"10,170",2,1.0,5.00,,5,,0.33,0.70,,0.16,0.011,2.8,104,***,65,
1123,2016-12-14T00:00:00.000,IBAL,1,8.3,21.2,74,173,8.83,25,61310,"8,160",1,0.0,4.02,,2,,0.18,0.20,,0.01,0.010,1.3,64,***,11,
1124,2016-12-14T00:00:00.000,IBAL,1,8.01,20,41,106,3.36,28,38730,100,10,4.0,4.06,,1.9,,0.09,0.30,,0.02,0.006,0.9,55,***,0,
1122,2017-01-25T00:00:00.000,IBAL,1,8.23,20,99,256,10.1,60,24194,"14,136",2,6,5.41,,5.7,,0.22,0.40,,0.14,,1.3,106,,37,
1123,2017-01-25T00:00:00.000,IBAL,1,8.31,20.3,47,190,8.13,78,24195,"24,196",2,5,5.17,,2.7,,0.32,0.60,,0.08,,1.9,42,,11,
1124,2017-01-25T00:00:00.000,IBAL,1,8.15,20.6,26,82,2.05,19,24196,"1,710",0,1,4.75,,1.5,,0.15,0.20,,0.01,,1.2,40,,7,
1122,2017-02-15T00:00:00.000,IBAL,1,8.1,16,119,304,6.41,33,38730,"24,810",1,3,***,,4.3,,0.38,0.40,,0.09,,2.9,142,,70,
1123,2017-02-15T00:00:00.000,IBAL,1,7.67,17,56,275,4.99,17,23590,"2,110",1,2,3.13,,4.2,,0.1,0.10,,0.01,,2,104,,14,
1124,2017-02-15T00:00:00.000,IBAL,1,7.74,20.1,48,67.8,6.09,47,34480,100,3,8,5.81,,2,,0.06,0.10,,0.04,,0.9,35,,0,
1122,2017-03-15T00:00:00.000,IBAL,1,8.24,19.8,***,287,50,205,72700,"24,810",2,4,***,,4.9,,0.36,1.10,,0.16,,1.8,***,,43,
1123,2017-03-15T00:00:00.000,IBAL,1,8.01,19.6,***,162,7.12,47,77010,"3,410",3,6,***,,1.1,,0.13,0.40,,0.02,,2.6,***,,4,
1124,2017-03-15T00:00:00.000,IBAL,1,7.81,20.1,58,92,16.8,83,15531,"1,100",***,***,***,,2,,0.29,0.30,,0.03,,3,***,,0,
1122,2017-04-28T00:00:00.000,IBAL,1,8.09,19.2,136,287,28.6,139,36540,"8,840",***,***,***,,6.3,,0.41,0.80,,0.19,0.003,1,104,,48,
1123,2017-04-28T00:00:00.000,IBAL,1,8,20.2,67,149,7.9,49,34480,"3,050",***,***,***,,1.6,,0.19,0.30,,0.02,0.005,1.2,65,,4,
