NUQFUS,FECHA DE LA MEDICION,NOMBRE DEL LABORATORIO,TIPO DE LABORATORIO,PH,TEMPERATURA,SOLIDOS TOTALES,CONDUCTIVIDAD,TURBIEDAD,COLOR REAL,COLIFORMES TOTALES,E. COLI,DEMANDA BIOQUIMICA DE OXIGENO - DBO,DEMANDA QUIMICA DE OXIGENO - DQO,OXIGENO DISUELTO,SODIO,CLORUROS,FLUORUROS,HIERRO,MANGANESO,FENOLES,AMONIACO,NITRITOS,NITRATOS,DUREZA,CIANUROS,SULFATOS,FOSFORO SOLUBLE
1124,2019-03-20T00:00:00.000,IBAL,1,8.15,18.8,128,284,24.3,154,61310,"19,180",1,3.6,8.28,,,,0.62,1.50,,2.03,0.004,1.1,128,,59,
1122,2019-03-20T00:00:00.000,IBAL,1,8.22,19,55,122,4.36,25,29090,"3,840",1,0.5,8.20,,,,0.61,1.70,,2.19,0.003,0.6,58,,11,
1123,2019-03-21T00:00:00.000,IBAL,1,8.16,20.1,30,66,7.59,29,34480,860,0,11,7.44,,,,0.18,0.50,,0.08,0.007,0.8,29,,0,
1124,2019-04-24T00:00:00.000,IBAL,1,8.02,18.8,28,288,22.2,115,141360,"11,690",0,2.0,8.28,,,,0.44,1.20,,0.18,0.005,0.4,125,,58,
1122,2019-04-24T00:00:00.000,IBAL,1,7.8,19.1,2,125.3,11,56,68670,"9,590",0,0.0,8.20,,,,0.16,0.80,,0.08,0.008,0.6,63,,6,
1123,2019-04-24T00:00:00.000,IBAL,1,8.09,20,2,69.1,6.1,32,22470,850,0,1,7.44,,,,0.13,0.30,,0.05,0.006,0.7,30,,0,
1124,2019-05-29T00:00:00.000,IBAL,1,7.82,20.2,109,234,6.76,31,30760,"11,260",3,8.0,8.15,,,,0.42,0.30,,0.1,0.006,0.1,,,51,
1122,2019-05-29T00:00:00.000,IBAL,1,7.76,20.6,61,120,5.81,27,155310,"14,670",3,8.0,8.13,,,,0.07,0.50,,0.06,0.009,1,,,10,
1124,2019-06-19T00:00:00.000,IBAL,1,7.67,18.9,111,246,10.9,47,24810,"6,310",2,3.0,8.39,,,,0.35,0.50,,0.12,0.014,1.6,,,50,
1122,2019-06-19T00:00:00.000,IBAL,1,7.62,19.5,56,125,4.96,21,61310,"5,650",1,2.0,8.35,,,,0.37,0.50,,0.02,0.007,2,,,3,
1123,2019-06-19T00:00:00.000,IBAL,1,7.91,21,30,67.9,6.26,28,26130,310,1,2.0,7.38,,,,0.15,0.40,,0.03,0.003,1.2,,,0,
1124,2019-07-17T00:00:00.000,IBAL,1,7.77,18.6,106,239,58.9,233,38730,"11,000",2,6.0,8.18,,,,0.74,1.40,,0.26,0.018,2.8,,,50,
1122,2019-07-17T00:00:00.000,IBAL,1,7.73,19,56,128,7.76,22,46110,"9,900",2,4.0,8.20,,,,0.24,0.40,,0.06,0.012,1,,,9,
1123,2019-07-17T00:00:00.000,IBAL,1,8.48,22.9,33,70,5.4,50,23590,100,1,3,7.28,,,,0.08,0.60,,0.07,0.010,2.5,,,0,
1124,2019-08-14T00:00:00.000,IBAL,1,7.95,19.8,131,371,18.1,41,61310,"22,820",6,10.0,7.92,,,,0.36,0.50,,0.09,0.006,1.4,,,61,
1122,2019-08-14T00:00:00.000,IBAL,1,7.77,19.9,58,166,7.61,17,24810,100,1,2.0,7.71,,,,0.09,0.40,,0.05,0.006,0.7,,,12,
1123,2019-08-14T00:00:00.000,IBAL,1,8.22,21.3,32,89.8,3.11,12,22470,"1,600",1,3,7.87,,,,0.09,0.30,,0.05,0.003,1,,,0,
1124,2019-09-27T00:00:00.000,IBAL,1,7.86,19.9,103,269,7.76,335,43520,"10,430",0,2,7.39,,5,,0.82,2.40,,1,0.014,2.2,107,,61,
1122,2019-09-25T00:00:00.000,IBAL,1,8.17,19.6,62,161,19.3,7,38730,"2,950",0,1,7.43,,4.5,,0.09,0.20,,0.04,0.002,0.4,55,,12,
1123,2019-09-25T00:00:00.000,IBAL,1,8.2,20.4,34,87,3.7,24,98040,410,0,1,7.62,,1.7,,0.06,0.40,,0.04,0.006,0.6,37,,0,
1124,2019-10-17T00:00:00.000,IBAL,1,7.91,18.4,107,274,19,73,36540,"13,140",3,6,6.82,,6.7,,0.29,0.8,,0.16,0.005,1.2,85,,48,0.26
1122,2019-10-17T00:00:00.000,IBAL,1,7.72,19.7,60,147,4.7,52,77.01,"29,090",1,2,7.17,,1.4,,0.06,0.6,,0.04,0.005,2.6,65,,5,0.24
1123,2019-10-17T00:00:00.000,IBAL,1,7.45,18.8,33,78,15.5,42,7760,630,1,2,8.10,,1.2,,0.36,0.6,,0.09,0.009,2.8,43,,0,0.25
1124,2019-11-13T00:00:00.000,IBAL,1,7.9,18.4,89,371,40.6,189,36540,"15,290",3,4,8.36,,3.8,,0.76,1.5,,0.23,0.016,2.3,90,,39,0.40
1122,2019-11-13T00:00:00.000,IBAL,1,7.93,18.7,55,228,9.34,43,22820,"5,210",6,13,8.34,,2,,0.28,0.3,,0.05,0.007,1.6,62,,6,0.26
1123,2019-11-13T00:00:00.000,IBAL,1,8.11,20.6,31,126,13.4,29,26130,"5,200",1,2,9.35,,1.4,,0.15,0.3,,0.06,0.010,1.6,32,,0,0.2
1123,2019-12-18T00:00:00.000,IBAL,1,7.98,18,117,360,16.3,64,22470,"6,970",1,2,8.38,,11.6,,0.29,0.6,,0.14,0.008,1.6,107,,70,0.30
1123,2019-12-18T00:00:00.000,IBAL,1,7.8,18.7,59,190,3.38,5,64880,"11,690",1,3,8.24,,4.7,,0.14,0.6,,0.07,0.003,0.3,85,,7,0.25
1123,2019-12-18T00:00:00.000,IBAL,1,7.76,18.6,30,99,34.4,169,241960,"27,550",1,3,8.00,,1.1,,0.33,0.3,,0.15,0.016,2.9,29,,0,0.25
1124,2020-05-22T00:00:00.000,IBAL,1,8.4,20.7,149.000,372.000,5.31,44.000,61310,"7,380.000",3.000,6.000,7.400,,6.1,,0.25,0.300,,0.02,0.009,2.8,145.000,,63.000,0.450
1122,2020-05-22T00:00:00.000,IBAL,1,8.33,20.8,70.000,173.000,2.55,25.000,86640,"2,690.000",2.000,4.000,7.500,,5.7,,0.11,0.100,,0.01,0.006,2.5,65.000,,8.000,0.310
1123,2020-05-22T00:00:00.000,IBAL,1,7.95,21,36.000,85.000,4.44,30.000,7030,100.000,1.000,0.000,7.380,,0.8,,0.03,0.100,,0.13,0.006,1,35.000,,0.000,0.200
1124,2020-06-10T00:00:00.000,IBAL,1,8.12,19.9,133.000,336.000,6.31,38.000,30760,"6,630",2.000,4.000,8.390,,3.5,0.32,0.23,0.500,,0.22,0.005,1.2,152.000,,62.000,0.380
1122,2020-06-10T00:00:00.000,IBAL,1,8,19.7,58.000,152.000,2.67,22.000,68670,"5,980",1.000,2.000,8.330,,0.9,0.03,0.05,0.300,,0.07,0.004,0.8,59.000,,8.000,1.670
1123,2020-06-10T00:00:00.000,IBAL,1,7.47,19.3,33.000,86.000,7.12,28.000,98040,520.000,0.000,1.000,7.880,,0.7,0.03,0.14,0.500,,0.05,0.007,1.1,32.000,,0.000,0.380
1124,2020-07-15T00:00:00.000,IBAL,1,8.08,18.9,121.000,351.00,8.26,43.000,46110,"9,580.000",2.000,300.000,8.430,,8,0.280,0.47,0.400,,0.09,0.004,1.3,98.000,,51.000,0.310
1122,2020-07-15T00:00:00.000,IBAL,1,7.94,18.8,59.000,175.00,3.39,18.000,32550,"2,230.000",0.000,1.000,8.500,,2.8,0.230,0.14,0.040,,0.07,0.001,1.2,52.000,,0.000,0.350
1123,2020-07-15T00:00:00.000,IBAL,1,7.82,19.6,33.000,100.00,4.03,23.000,16580,100.000,0.000,1.000,7.780,,2.6,0.070,0.14,0.500,,0.04,0.005,0.9,31.000,,0.000,0.450
1124,2020-08-19T00:00:00.000,IBAL,1,7.9,18.5,119.000,338.00,8.62,40.000,77010,"14,210",1.000,2.000,8.280,,6.6,0.300,0.45,0.500,,0.07,0.011,0.7,127.000,,51.000,0.440
1122,2020-08-19T00:00:00.000,IBAL,1,7.73,18.8,50.000,180.00,4.5,22.000,61310,"3,230",1.000,2.000,8.150,,2.7,0.180,0.16,0.700,,0.06,0.005,0.8,67.000,,6.000,0.290
1123,2020-08-19T00:00:00.000,IBAL,1,7.77,20.2,35.000,104.00,6.26,27.000,38730,310,3.000,5.000,8.140,,1.5,0.220,0.13,0.900,,0.06,0.005,0.7,22.000,,0.000,0.200
1124,2020-09-16T00:00:00.000,IBAL,1,8.05,18.7,129.000,361.000,10.5,34.000,51720,"11,190.000",1.000,3.000,8.270,,5.8,0.040,0.54,0.400,,0.09,0.004,0.9,137.000,,55.000,0.250
1122,2020-09-16T00:00:00.000,IBAL,1,7.78,19.6,65.000,215.000,5.75,18.000,81640,"1,210.000",1.000,2.000,8.390,,5.8,0.870,0.13,0.500,,0.05,0.004,1,73.000,,9.000,0.160
1123,2020-09-16T00:00:00.000,IBAL,1,7.79,19,35.000,99.000,4.81,33.000,41060,410.000,1.000,1.000,7.810,,1.7,0.090,0.24,0.200,,0.06,0.005,1.2,22.000,,0.000,0.180
1124,2020-10-14T00:00:00.000,IBAL,1,8.1,20.7,125.000,358.000,6.56,41.0000,43520,"9,320.000",1.000,3.000,7.790,,5.5,0.920,0.42,0.500,,0.09,0.003,0.5,72.000,,54.000,0.270
1122,2020-10-14T00:00:00.000,IBAL,1,7.97,20.8,73.000,214.000,6.76,12.0000,241960,"2,260.000",0.000,1.000,7.920,,11,0.890,0.16,0.500,,0.08,0.002,0.6,66.000,,13.000,0.210
1123,2020-10-14T00:00:00.000,IBAL,1,7.86,19,35.000,99.900,4.33,24.0000,20460,310.000,0.000,0.000,8.100,,0.9,0.600,0.13,0.100,,0.02,0.002,0.5,26.000,,0.000,0.390
1124,2020-11-18T00:00:00.000,IBAL,1,8.09,18.2,95.000,267.000,54.4,319.0000,57940,"11,780.000",6.000,9.000,8.370,,5.8,0.440,0.59,1.000,,0.3,0.018,2.8,114.000,,46.000,0.360
1122,2020-11-18T00:00:00.000,IBAL,1,7.93,18.6,60.000,173.000,8.97,94.0000,77010,"1,970.000",3.000,4.000,8.210,,6.3,0.400,0.33,0.300,,0.02,0.004,0.5,59.000,,8.000,0.270
1123,2020-11-18T00:00:00.000,IBAL,1,7.83,18.5,33.000,94.700,6,35.0000,51720,200.000,1.000,5.000,7.970,,1.2,0.240,0.2,0.600,,0.07,0.004,0.7,33.000,,0.000,0.230
1124,2020-12-16T00:00:00.000,IBAL,1,8.02,18,133.000,360.000,6,29.000,81640,"14,970.000",0.000,1.000,8.590,,5.7,0.050,0.36,0.600,,0.05,0.006,1.1,135.000,,60.000,0.020
1122,2020-12-16T00:00:00.000,IBAL,1,7.74,18.6,58.000,164.000,6.46,31.000,86640,"2,620.000",0.000,1.000,8.640,,2.9,0.040,0.16,0.500,,0.04,0.008,1.2,77.000,,6.000,0.020
1123,2020-12-16T00:00:00.000,IBAL,1,7.5,20.8,31.000,85.000,30.5,122.000,43520,"1,810.000",0.000,1.000,8.100,,1.8,0.040,0.22,1.600,,0.23,0.003,0.09,32.000,,0.000,0.080
1124,2021-01-20T00:00:00.000,IBAL,1,7.95,18.3,134.000,372.000,5.2,26.000,54750,"10,390",1.000,3.000,8.480,,7.6,0.130,0.33,0.500,,0.08,0.009,2,140.000,,63.000,0.360
1122,2021-01-20T00:00:00.000,IBAL,1,7.88,19,50.000,168.000,3.93,18.000,120330,"1,190",1.000,2.000,8.270,,3.4,0.060,0.14,0.500,,0.01,0.003,2.2,72.000,,7.000,0.210
1123,2021-01-20T00:00:00.000,IBAL,1,7.85,19.2,33.000,91.000,4.52,22.000,26130,310,0.000,1.000,7.710,,1.8,0.150,0.11,5.000,,0.01,0.005,1.3,32.000,,0.000,0.190
1124,2021-02-17T00:00:00.000,IBAL,1,7.43,17.8,140.000,390.000,7.43,32.000,141360,"32,550.000",0.000,1.000,8.830,,10.4,0.080,0.43,0.400,,0.1,0.006,1,142.000,,62.000,0.300
1122,2021-02-17T00:00:00.000,IBAL,1,4.37,18.6,61.000,175.000,4.37,18.000,41060,"1,810.000",0.000,1.000,8.430,,5.7,0.200,0.15,0.300,,0.11,0.005,0.7,55.000,,10.000,0.260
1123,2021-02-17T00:00:00.000,IBAL,1,3.99,18.5,32.000,92.000,3.99,24.000,54750,410.000,1.000,3.000,8.370,,2.2,0.070,0.16,0.200,,0.06,0.008,1.2,28.000,,0.000,0.400
1124,2021-03-17T00:00:00.000,IBAL,1,8.01,17.1,97.00,242.00,87.8,334.000,108988,"4,590.000",16.000,26.000,8.580,,6.6,0.26,0.43,2.500,,0.32,0.008,1.7,100.000,,45.000,0.200
1122,2021-03-17T00:00:00.000,IBAL,1,8.02,18,62.000,155.000,122.5,449.000,117876,"4,958.000",2.000,5.000,8.460,,5.6,0.23,0.06,0.900,,0.06,0.008,1.4,105.000,,38.000,0.010
1123,2021-03-17T00:00:00.000,IBAL,1,7.97,21.2,33.000,81.000,4.84,30.000,31435,100.000,4.000,10.000,7.680,,2.8,0.21,0.1,0.100,,0.16,0.006,0.5,66.000,,0.000,0.010
1124,2021-04-21T00:00:00.000,IBAL,1,8.16,19.1,123.000,336.00,9.76,58.000,111990,"13,540.000",2.000,3.000,8.330,,6.7,0.680,0.62,1.900,,0.1,0.008,0.8,130.000,,51.000,0.470
1122,2021-04-21T00:00:00.000,IBAL,1,7.9,19.6,55.000,155.00,4.34,33.000,77010,"1,520.000",3.000,7.000,7.980,,3.8,0.540,0.23,1.500,,0.05,0.006,0.9,60.000,,6.000,0.320
1123,2021-03-23T00:00:00.000,IBAL,1,7.95,20.6,31.000,88.400,5.29,31.000,38730,200.000,1.000,2.000,7.510,,2,0.200,0.18,0.300,,0.07,0.005,0.9,28.000,,0.000,0.200
1124,2021-05-26T00:00:00.000,IBAL,1,7.7,18.6,91.000,239,481,1212.000,86640,"9,100.000",***,***,8.090,,5,0.320,0.57,5.000,,0.9,0.007,1.5,96.000,,45.000,0.740
1122,2021-05-26T00:00:00.000,IBAL,1,7.69,18.9,55.000,152,7.3,24.000,86640,"3,890.000",***,***,7.980,,1.8,0.320,0.24,0.500,,0.07,0.007,1.3,60.000,,7.000,0.320
1123,2021-05-26T00:00:00.000,IBAL,1,7.64,18,31.000,81.3,12.1,52.000,77010,310.000,***,***,8.680,,0.8,0.350,0.12,0.900,,0.1,0.011,2.3,25.000,,1.000,0.270
1124,2021-06-16T00:00:00.000,IBAL,1,7.97,19.2,79.000,231.000,119,540.000,98040,"6,500.000",2.000,5.000,8.720,,3.7,0.160,0.44,1.700,,0.73,0.013,2.9,93.000,,42.000,0.530
1122,2021-06-16T00:00:00.000,IBAL,1,7.98,20.1,51.000,151.000,13,89.000,72700,"1,710.000",3.000,6.000,8.350,,2,0.260,0.51,0.600,,0.14,0.008,2.7,53.000,,5.000,0.380
1123,2021-06-16T00:00:00.000,IBAL,1,7.82,20.6,29.000,84.200,9.23,36.000,54750,200.000,1.000,6.000,6.140,,1,0.340,0.33,0.200,,0.1,0.008,1.4,28.000,,0.000,0.380
1124,2021-07-28T00:00:00.000,IBAL,1,7.87,18.5,93.000,234.000,80.2,380.000,24810,"7,670.000",3.000,5.000,8.420,,6.5,0.110,0.78,1.600,,0.41,0.007,1.2,130.000,,47.000,0.270
1122,2021-07-28T00:00:00.000,IBAL,1,7.84,18.7,55.000,136.000,15.8,76.000,57940,"2,430.000",3.000,6.000,7.990,,2.9,0.020,0.27,0.500,,0.14,0.005,1.5,66.000,,6.000,0.140
1123,2021-07-28T00:00:00.000,IBAL,1,7.95,20.2,30.000,74.100,25.5,85.000,34480,980.000,4.000,6.000,7.790,,1.7,0.120,0.37,0.500,,0.1,0.016,1.3,26.000,,2.000,0.140
1124,2021-08-25T00:00:00.000,IBAL,1,7.93,18.7,89.000,223.000,54.5,288.000,12230,"5,384.000",2.000,13.000,8.910,,0.58,0.610,0.58,2.700,,0.29,0.008,1.2,88.0000,,42.00,0.480
1122,2021-08-25T00:00:00.000,IBAL,1,7.76,19,51.000,128.000,22.7,149.000,48840,"6,770.000",1.000,2.000,8.450,,0.33,0.160,0.33,1.600,,0.13,0.007,1.5,48.0000,,7.00,0.250
1123,2021-08-25T00:00:00.000,IBAL,1,7.76,19.1,28.000,70.200,13.9,66.000,12740,100.000,0.000,1.000,6.850,,0.44,0.440,0.44,0.200,,0.11,0.007,1.6,38.0000,,0.00,0.370
1124,2021-08-29T00:00:00.000,IBAL,1,7.7,18,89.000,223.000,578,1500.000,241960,"10,430.000",3.000,1.000,8.290,,4.5,0.010,0.99,4.600,,0.86,0.005,1.1,88.000,,44.000,0.560
1122,2021-08-29T00:00:00.000,IBAL,1,7.66,18.1,52.000,131.000,43.8,134.000,38730,"3,640.000",2.000,1.000,7.780,,3.6,0.130,0.27,0.400,,0.07,0.006,1.2,45.000,,7.000,0.220
1123,2021-08-28T00:00:00.000,IBAL,1,7.66,19.7,29.000,74.900,15.1,71.000,48840,"1,710.000",1.000,0.000,8.250,,2.8,0.030,0.29,0.400,,0.07,0.007,2.1,26.000,,0.000,0.180
1124,2021-10-21T00:00:00.000,IBAL,1,8.17,55.9,105.000,275,55.9,263,41060,"11,690.000",2.000,5.000,101.600,,5.8,0.070,0.6,1.800,,0.43,0.011,2.4,106,,50,0.380
1122,2021-10-21T00:00:00.000,IBAL,1,7.9,14.7,53.000,135,14.7,95,51720,"7,800.000",1.000,3.000,100.900,,1.8,0.100,0.2,0.500,,0.1,0.010,1.9,95,,6,0.210
1123,2021-10-20T00:00:00.000,IBAL,1,7.89,19.2,29.000,74.3,8.66,27,6700,100.000,1.000,3.000,100.300,,1.2,0.130,0.06,0.400,,0.03,0.009,0.8,23,,0.000,0.230
1124,2021-11-12T00:00:00.000,IBAL,1,8.09,17.8,103.000,259,163,552,17850,"2,590",1.000,3.000,8.710,,5.3,0.300,0.71,3.400,,0.04,0.006,1.5,109,,45,0.240
1122,2021-11-12T00:00:00.000,IBAL,1,8.1,17.9,53.000,260,14.9,60,61310,"1,080",1.000,2.000,8.720,,1.9,0.550,0.33,1.200,,0.07,0.012,2.1,53,,6,0.130
1123,2021-11-12T00:00:00.000,IBAL,1,7.65,18.3,30.000,76.0,7.37,46,17850,630,1.000,2.000,8.510,,1.1,0.550,0.22,0.900,,0.03,0.010,1,22,,1,0.370
1124,2021-12-15T00:00:00.000,IBAL,1,8.16,18.4,118.000,300,15.6,101,38730,"11,530",2.000,4.000,8.250,,4.7,0.240,0.49,0.400,,0.12,0.008,2,113,,56,0.300
1122,2021-12-15T00:00:00.000,IBAL,1,7.93,18.7,55.000,140,3.46,25,61310,"4,640",3.000,5.000,8.060,,2.1,0.540,0.19,0.100,,0.03,0.003,0.8,50,,4,0.180
1123,2021-12-15T00:00:00.000,IBAL,1,7.84,21.7,30.000,77.3,5.7,23,43520,200,0.000,1.000,6.980,,2.5,0.100,0.2,0.300,,0.13,0.008,1.1,20,,0,0.370
1124,2022-01-19T00:00:00.000,IBAL,1,8.18,17.3,133.000,341.000,8.08,50.000,24810,"12,740.000",5.000,13.000,8.010,0.00,4.6,0.800,0.38,6.000,0.00,0.1,0.008,1,127.000,0,64.000,0.400
1122,2022-01-19T00:00:00.000,IBAL,1,7.95,18.7,57.000,144.000,3.13,14.000,20980,"1,870.000",1.000,2.000,7.930,0.00,3.7,0.400,0.36,0.300,0.00,0.02,0.004,0.7,45.000,0,3.000,0.380
1123,2022-01-19T00:00:00.000,IBAL,1,7.95,18.7,31.000,78.400,5.14,30.000,5910,200.000,4.000,7.000,7.550,0.00,0.6,0.320,0.23,7.000,0.00,0.05,0.008,2.1,28.000,0,0.000,0.420
1124,2022-02-16T00:00:00.000,IBAL,1,8.21,18.4,142.000,369.000,6.98,66.000,24810,"9,310.000",2.000,4.000,8.200,0.00,4.9,0.050,0.35,0.400,0.00,0.07,0.009,1.2,139.000,0,62.000,0.370
1122,2022-02-16T00:00:00.000,IBAL,1,8.1,19.1,56.000,146.000,1.38,16.000,27230,"1,450.000",2.000,3.000,8.100,0.00,2.7,0.400,0.21,0.200,0.00,0.03,0.006,1,57.000,0,9.000,0.270
1123,2022-02-16T00:00:00.000,IBAL,1,7.58,20.1,32.000,93.60,3.45,23.000,14830,310.000,1.000,2.000,7.280,0.00,0.8,0.090,0.31,0.400,0.00,0.01,0.004,0.5,23.000,0,0.000,0.190
1124,2022-03-15T00:00:00.000,IBAL,1,8.07,18.5,130.000,321,34.3,232,32550,"9,090",1.000,2.000,7.370,,5.2,0.100,0.81,0.033,,0.22,0.017,2.3,138.00,,60.00,0.500
1122,2022-03-15T00:00:00.000,IBAL,1,7.86,18.6,55.000,136,37.1,246,38730,"9,850",0.000,1.000,6.770,,4.9,0.160,0.95,0.035,,0.27,0.012,2.6,51.00,,12.00,0.420
1123,2022-03-15T00:00:00.000,IBAL,1,8.13,19.4,31.000,76.3,6.09,38,12590,200,2.000,6.000,7.950,,1.1,0.080,0.47,0.022,,0.07,0.008,1.2,26.00,,0.00,0.300
1124,2022-04-27T00:00:00.000,IBAL,1,8.17,20.2,90.000,228.000,52.3,303.000,26130,"3,050.000",0.000,1.000,8.350,,5.8,0.300,0.49,0.099,,0.35,0.008,1.7,160.00,,41.00,0.410
1122,2022-04-27T00:00:00.000,IBAL,1,8.04,20,51.000,131.000,19.3,285.000,61310,520.000,0.000,1.000,8.360,,2.2,0.170,0.42,0.025,,0.13,0.009,2,101.00,,5.00,0.220
1123,2022-04-29T00:00:00.000,IBAL,1,8.23,20.9,28.000,69.00,13.8,104.000,9330,200.000,6.000,15.000,8.790,,1.2,0.270,0.37,0.037,,0.09,0.008,3.7,40.00,,0.000,0.230
1124,2022-05-25T00:00:00.000,IBAL,1,7.94,20.5,89.000,228.000,60.4,325.000,54750,"3,130.000",1.000,2.000,8.660,,2.5,0.430,0.95,0.065,,0.2,0.006,1.4,190.000,,30.000,0.260
1122,2022-05-25T00:00:00.000,IBAL,1,7.74,20.6,50.000,129.000,37.1,210.000,86640,"5,760.000",0.000,1.000,8.210,,1.5,0.350,0.48,0.087,,0.21,0.006,1.5,110.000,,2.000,0.370
1124,2022-06-15T00:00:00.000,IBAL,1,7.94,18.6,80.000,204.000,57,484.00,64880,"5,210.000",0.000,1.000,8.580,,6.9,0.250,0.77,0.037,,0.25,0.004,0.3,180.000,,32.000,0.370
1122,2022-06-15T00:00:00.000,IBAL,1,7.78,18.3,50.000,130.000,24,267.00,77010,"4,570.000",0.000,1.000,8.300,,2.3,0.420,0.63,0.029,,0.1,0.003,0.2,110.000,,2.000,0.320
1124,2022-07-13T00:00:00.000,IBAL,1,8.01,18.6,99.000,225.000,221,1480.000,86640,"7,270.000",8.000,15.000,8.440,,8.1,0.210,0.48,0.332,,1.4,0.012,0.05,225.000,,42.000,0.960
1122,2022-07-13T00:00:00.000,IBAL,1,8.05,19.2,53.000,130.000,11.3,86.000,173290,"4,140.000",0.000,1.000,8.460,,3.5,0.120,0.32,0.163,,0.4,0.016,0.06,130.000,,1.000,0.210
1123,2022-07-19T00:00:00.000,IBAL,1,7.96,19.6,28.000,74.600,51,278.000,4960,100.000,0.000,1.000,7.890,,0,0.120,0.2,0.011,,0.5,0.010,1.5,48.000,,0.000,0.180
